team_owner,player_name,team,position,original_draft_value,current_value,updated,nextUpdate
"Ciao, Roberto",Justin Herbert,LAC,QB,5.0,5,2020-09-22,2020-09-29
"Ciao, Roberto",Matthew Stafford,DET,QB,4.0,4,2020-09-22,2020-09-29
"Ciao, Roberto",Baker Mayfield,CLE,QB,4.0,4,2020-09-22,2020-09-29
"Ciao, Roberto",Alvin Kamara,NO,RB,54.0,54,2020-09-22,2020-09-29
"Ciao, Roberto",D'Andre Swift,DET,RB,15.0,15,2020-09-22,2020-09-29
"Ciao, Roberto",Le'Veon Bell,NYJ,RB,11.0,11,2020-09-22,2020-09-29
"Ciao, Roberto",Antonio Gibson,WAS,RB,9.0,9,2020-09-22,2020-09-29
"Ciao, Roberto",Latavius Murray,NO,RB,5.0,5,2020-09-22,2020-09-29
"Ciao, Roberto",Phillip Lindsay,DEN,RB,5.0,5,2020-09-22,2020-09-29
"Ciao, Roberto",Zack Moss,BUF,RB,4.0,4,2020-09-22,2020-09-29
"Ciao, Roberto",Bryce Love,WAS,RB,3.0,3,2020-09-22,2020-09-29
"Ciao, Roberto",Peyton Barber,WAS,RB,0.0,2,2020-09-22,2020-09-29
"Ciao, Roberto",Giovani Bernard,CIN,RB,0.0,0,2020-09-22,2020-09-29
"Ciao, Roberto",Rashaad Penny,SEA,RB,0.0,0,2020-09-22,2020-09-29
"Ciao, Roberto",Henry Ruggs,LV,WR,11.0,11,2020-09-22,2020-09-29
"Ciao, Roberto",Jarvis Landry,CLE,WR,5.0,5,2020-09-22,2020-09-29
"Ciao, Roberto",Stefon Diggs,BUF,WR,4.0,4,2020-09-22,2020-09-29
"Ciao, Roberto",Mecole Hardman,KC,WR,4.0,4,2020-09-22,2020-09-29
"Ciao, Roberto",Corey Davis,TEN,WR,0.0,1,2020-09-22,2020-09-29
"Ciao, Roberto",Curtis Samuel,CAR,WR,1.0,1,2020-09-22,2020-09-29
"Ciao, Roberto",Allen Lazard,GB,WR,1.0,1,2020-09-22,2020-09-29
"Ciao, Roberto",George Kittle,SF,TE,33.0,33,2020-09-22,2020-09-29
"Ciao, Roberto",Irv Smith,MIN,TE,0.0,0,2020-09-22,2020-09-29
Doo-doo birds ,Deshaun Watson,HOU,QB,26.0,26,2020-09-22,2020-09-29
Doo-doo birds ,Jimmy Garoppolo,SF,QB,8.0,8,2020-09-22,2020-09-29
Doo-doo birds ,Matt Ryan,ATL,QB,6.0,6,2020-09-22,2020-09-29
Doo-doo birds ,James Conner,PIT,RB,27.0,27,2020-09-22,2020-09-29
Doo-doo birds ,Devin Singletary,BUF,RB,9.0,9,2020-09-22,2020-09-29
Doo-doo birds ,Carlos Hyde,SEA,RB,3.0,3,2020-09-22,2020-09-29
Doo-doo birds ,Malcolm Brown,LAR,RB,0.0,3,2020-09-22,2020-09-29
Doo-doo birds ,DeAndre Hopkins,ARI,WR,33.0,33,2020-09-22,2020-09-29
Doo-doo birds ,Odell Beckham,CLE,WR,23.0,23,2020-09-22,2020-09-29
Doo-doo birds ,Amari Cooper,DAL,WR,16.0,16,2020-09-22,2020-09-29
Doo-doo birds ,Will Fuller,HOU,WR,16.0,16,2020-09-22,2020-09-29
Doo-doo birds ,Brandin Cooks,HOU,WR,5.0,5,2020-09-22,2020-09-29
Doo-doo birds ,Diontae Johnson,PIT,WR,4.0,4,2020-09-22,2020-09-29
Doo-doo birds ,Jerry Jeudy,DEN,WR,4.0,4,2020-09-22,2020-09-29
Doo-doo birds ,Christian Kirk,ARI,WR,3.0,3,2020-09-22,2020-09-29
Doo-doo birds ,John Brown,BUF,WR,2.0,2,2020-09-22,2020-09-29
Doo-doo birds ,Kendrick Bourne,SF,WR,0.0,2,2020-09-22,2020-09-29
Doo-doo birds ,N'Keal Harry,NE,WR,2.0,2,2020-09-22,2020-09-29
Doo-doo birds ,Darren Waller,LV,TE,5.0,5,2020-09-22,2020-09-29
Doo-doo birds ,Jared Cook,NO,TE,5.0,5,2020-09-22,2020-09-29
JonBenét Rams,Russell Wilson,SEA,QB,21.0,21,2020-09-22,2020-09-29
JonBenét Rams,Kyler Murray,ARI,QB,16.0,16,2020-09-22,2020-09-29
JonBenét Rams,Ben Roethlisberger,PIT,QB,2.0,2,2020-09-22,2020-09-29
